benchmark,solver,score
/p/graves/smtFiles/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_sha224sum.set_char_quoting.il.dwp.smt2,solver0,0.071385
/p/graves/smtFiles/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_sha224sum.set_char_quoting.il.dwp.smt2,solver1,0.020898
/p/graves/smtFiles/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_sha224sum.set_char_quoting.il.dwp.smt2,solver2,0.134098
/p/graves/smtFiles/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_sha224sum.set_char_quoting.il.dwp.smt2,solver3,0.194794
/p/graves/smtFiles/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_sha224sum.set_char_quoting.il.dwp.smt2,solver4,0.134827
/p/graves/smtFiles/QF_ABV/platania/no_init_multi_member/no_init_multi_member2.smt2,solver0,0.011218
/p/graves/smtFiles/QF_ABV/platania/no_init_multi_member/no_init_multi_member2.smt2,solver1,0.0107041
/p/graves/smtFiles/QF_ABV/platania/no_init_multi_member/no_init_multi_member2.smt2,solver2,0.025843
/p/graves/smtFiles/QF_ABV/platania/no_init_multi_member/no_init_multi_member2.smt2,solver3,0.0202271
/p/graves/smtFiles/QF_ABV/platania/no_init_multi_member/no_init_multi_member2.smt2,solver4,0.0179779
/p/graves/smtFiles/QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_seq.close_stdout_set_file_name.il.fse-bfs.smt2,solver0,0.0114051
/p/graves/smtFiles/QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_seq.close_stdout_set_file_name.il.fse-bfs.smt2,solver1,0.009863
/p/graves/smtFiles/QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_seq.close_stdout_set_file_name.il.fse-bfs.smt2,solver2,0.0246391
/p/graves/smtFiles/QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_seq.close_stdout_set_file_name.il.fse-bfs.smt2,solver3,0.0317851
/p/graves/smtFiles/QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_seq.close_stdout_set_file_name.il.fse-bfs.smt2,solver4,0.0216871
/p/graves/smtFiles/QF_ABV/egt/egt-7459.smt2,solver0,0.0141841
/p/graves/smtFiles/QF_ABV/egt/egt-7459.smt2,solver1,0.012248
/p/graves/smtFiles/QF_ABV/egt/egt-7459.smt2,solver2,0.0210169
/p/graves/smtFiles/QF_ABV/egt/egt-7459.smt2,solver3,0.0187691
/p/graves/smtFiles/QF_ABV/egt/egt-7459.smt2,solver4,0.0158419
/p/graves/smtFiles/QF_ABV/egt/egt-2593.smt2,solver0,0.011377
/p/graves/smtFiles/QF_ABV/egt/egt-2593.smt2,solver1,0.00987909
/p/graves/smtFiles/QF_ABV/egt/egt-2593.smt2,solver2,0.0346459
/p/graves/smtFiles/QF_ABV/egt/egt-2593.smt2,solver3,0.0226779
/p/graves/smtFiles/QF_ABV/egt/egt-2593.smt2,solver4,0.037179
/p/graves/smtFiles/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2,solver0,0.262889
/p/graves/smtFiles/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2,solver1,0.114906
/p/graves/smtFiles/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2,solver2,4.13312
/p/graves/smtFiles/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2,solver3,1.92263
/p/graves/smtFiles/QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2,solver4,1.61353
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_true_functions_dwp_shred.isaac_mix.il.dwp.smt2,solver0,219.981
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_true_functions_dwp_shred.isaac_mix.il.dwp.smt2,solver1,2.39318
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_true_functions_dwp_shred.isaac_mix.il.dwp.smt2,solver2,22.9306
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_true_functions_dwp_shred.isaac_mix.il.dwp.smt2,solver3,7.24583
/p/graves/smtFiles/QF_ABV/dwp_formulas/try4_true_functions_dwp_shred.isaac_mix.il.dwp.smt2,solver4,439.648
/p/graves/smtFiles/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_cat.set_char_quoting.il.dwp.smt2,solver0,0.0793681
/p/graves/smtFiles/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_cat.set_char_quoting.il.dwp.smt2,solver1,0.105202
/p/graves/smtFiles/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_cat.set_char_quoting.il.dwp.smt2,solver2,0.631892
/p/graves/smtFiles/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_cat.set_char_quoting.il.dwp.smt2,solver3,0.49542
/p/graves/smtFiles/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_cat.set_char_quoting.il.dwp.smt2,solver4,0.244585
/p/graves/smtFiles/QF_AUFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-compact-mem.smt2,solver0,2400
/p/graves/smtFiles/QF_AUFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-compact-mem.smt2,solver1,65.9894
/p/graves/smtFiles/QF_AUFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-compact-mem.smt2,solver2,2400
/p/graves/smtFiles/QF_AUFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-compact-mem.smt2,solver3,2400
/p/graves/smtFiles/QF_AUFBV/2019-Wolf-fmbench/2018E/ponylink-slaveTXlen-unsat-compact-mem.smt2,solver4,2400
/p/graves/smtFiles/QF_ABV/klee-selected-smt2/cu-no-caches/_csplit-query-000219.smt2,solver0,0.0599169
