benchmark,solver,score
BV/2017-Preiner-psyco/044.smt2,solver0,2400
BV/2017-Preiner-psyco/044.smt2,solver1,0.835254
BV/2017-Preiner-psyco/044.smt2,solver2,1.01882
BV/2017-Preiner-psyco/044.smt2,solver3,0.647018
BV/2018-Preiner-cav18/check_bvugt_bvashr1_32bit.smt2,solver0,2400
BV/2018-Preiner-cav18/check_bvugt_bvashr1_32bit.smt2,solver1,0.207899
BV/2018-Preiner-cav18/check_bvugt_bvashr1_32bit.smt2,solver2,2400
BV/2018-Preiner-cav18/check_bvugt_bvashr1_32bit.smt2,solver3,0.0671389
BV/wintersteiger/fmsd13/ranking/network_ndis_rtlnwifi_extsta_st_misc.c.smt2,solver0,2400
BV/wintersteiger/fmsd13/ranking/network_ndis_rtlnwifi_extsta_st_misc.c.smt2,solver1,2400
BV/wintersteiger/fmsd13/ranking/network_ndis_rtlnwifi_extsta_st_misc.c.smt2,solver2,2400
BV/wintersteiger/fmsd13/ranking/network_ndis_rtlnwifi_extsta_st_misc.c.smt2,solver3,2400
BV/2017-Preiner-keymaera/dccs-example-node6707.smt2,solver0,2400
BV/2017-Preiner-keymaera/dccs-example-node6707.smt2,solver1,604.251
BV/2017-Preiner-keymaera/dccs-example-node6707.smt2,solver2,2400
BV/2017-Preiner-keymaera/dccs-example-node6707.smt2,solver3,0.553826
BV/2018-Preiner-cav18/check_eq_bvlshr0_4bit.smt2,solver0,2400
BV/2018-Preiner-cav18/check_eq_bvlshr0_4bit.smt2,solver1,0.020519
BV/2018-Preiner-cav18/check_eq_bvlshr0_4bit.smt2,solver2,0.0370629
BV/2018-Preiner-cav18/check_eq_bvlshr0_4bit.smt2,solver3,0.0187571
BV/2020-Preiner-fmcad20/inv/check_ic_bvand_x_s_32.smt2,solver0,2400
BV/2020-Preiner-fmcad20/inv/check_ic_bvand_x_s_32.smt2,solver1,153.513
BV/2020-Preiner-fmcad20/inv/check_ic_bvand_x_s_32.smt2,solver2,2400
BV/2020-Preiner-fmcad20/inv/check_ic_bvand_x_s_32.smt2,solver3,0.157729
BV/2020-Preiner-fmcad20/inv/check_ic_bvslt_s_x_32.smt2,solver0,2400
BV/2020-Preiner-fmcad20/inv/check_ic_bvslt_s_x_32.smt2,solver1,124.093
BV/2020-Preiner-fmcad20/inv/check_ic_bvslt_s_x_32.smt2,solver2,2400
BV/2020-Preiner-fmcad20/inv/check_ic_bvslt_s_x_32.smt2,solver3,0.469242
BV/2020-Preiner-fmcad20/inv/check_ic_bvmul_x_s_32.smt2,solver0,2400
BV/2020-Preiner-fmcad20/inv/check_ic_bvmul_x_s_32.smt2,solver1,2400
BV/2020-Preiner-fmcad20/inv/check_ic_bvmul_x_s_32.smt2,solver2,2400
BV/2020-Preiner-fmcad20/inv/check_ic_bvmul_x_s_32.smt2,solver3,2400
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node633178.smt2,solver0,2.84491
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node633178.smt2,solver1,0.0177539
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node633178.smt2,solver2,0.031172
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node633178.smt2,solver3,0.0157049
BV/2017-Preiner-keymaera/vsli.proof-node2282.smt2,solver0,2400
BV/2017-Preiner-keymaera/vsli.proof-node2282.smt2,solver1,8.66611
BV/2017-Preiner-keymaera/vsli.proof-node2282.smt2,solver2,2400
BV/2017-Preiner-keymaera/vsli.proof-node2282.smt2,solver3,9.9031
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node287705.smt2,solver0,2.71918
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node287705.smt2,solver1,0.021927
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node287705.smt2,solver2,0.031013
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node287705.smt2,solver3,0.0156009
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node270758.smt2,solver0,4.99508
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node270758.smt2,solver1,0.0178099
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node270758.smt2,solver2,0.0319599
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node270758.smt2,solver3,0.01574
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node287914.smt2,solver0,3.00025
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node287914.smt2,solver1,0.0185019
